Comentario	Indice Moral	Damage	Views	Deley
El videojuego es aburridísimo. los gráficos son del pleistoceno.	0,8	0,7	3	6
La receta de cocina es un desastre. ni se les entiende.	0,3	-1	-2	13
RE POCOS VIEWERS CONSEGUITE OTRO HOBBI	0	-2	-4	9
seguro no salis de esa pocilga de cuarto en todo el dia. bobo	0	-2	-4	10
menos vida social debe tener este pibe pobrecito…	0	-2	-4	7
imaginate stremear con esa cara!	0,1	-1,8	-3	15
sosun payaso	0,1	-1,8	-3	11
JUGAS MAL JUGAS MAL JUGAS MAL JUGAS MAL JUGAS MAL	0,1	-1,8	-3	6
de verdad crees que das gracia?	0,2	-1,5	-1	14
que tenes los graficos en 0 ??!! subiselos capo!!	0,2	-1,5	-1	9
jajaj tu computadora ni este juego corre	0,2	-1,5	-1	12
Chat ustedes no se aburrieron? Primera vez que lo veo y casi me duermo	0,2	-1,5	-1	8
TODAVIA JUGAS ESTO Y NO MEJORASTE NADA	0,2	-1,5	-1	13
La de laburar te la conoces?	0,2	-1,5	-1	10
Tu contenido me parece aburridisimo. buscate algun laburo..	0,2	-1,5	-1	5
sos horrible !!!!	0,3	-1	-2	11
Ya vas 40 minutos en esta parte man aprende a jugar	0,3	-1	-2	6
Re aburrido este juego me voy del stream	0,3	-1	-2	14
Es malisimo el juego. con la mejor te lo digo	0,3	-1	-2	8
sos malisimoooo	0,3	-1	-2	12
momo sacate la bandera que la representas mal XD	0,4	-0,5	-1	9
no me compraria esta basura de juego 	0,4	-0,5	-1	13
anda a ver el pasto 	0,4	-0,5	-1	7
No parece que te duches jajaja es broma	0,4	-0,5	-1	15
el chat no tiene vida propia	0,4	-0,5	-1	10
que onda la calidad del stream? conseguite un internet como la gente	0,4	-0,5	-1	11
ME ABURRO CHAT DIGAN ALGO PICANTE GENTE	0,4	-0,5	-1	7
Cuanto tiempo lo llevas persiguiendo?	0,5	0	0	9
Algun dia vas a jugar contra nosotros o tendremos que seguir esperando?	0,5	0	0	14
Alguien mas tiene problemas de lag? O es culpa de el?	0,5	0	0	12
Ya no puedo leer. pon el modo subs!	0,6	0,3	1	6
F por esa derrota bro	0,6	0,3	1	10
Alguna vez te inscribiste a algun torneo? Jajaja es broma. pero juegas bien!	0,6	0,3	1	13
Guau! El tren de sub! Suscribanse ahora (y regalenme una sub)	0,7	0,5	1	8
pasame la musica q estas escuchando xfaaa	0,7	0,5	1	11
Estoy esperando que puedas pasarte ese nivel! Quiero ver tu reaccion	0,7	0,5	1	5
El chat se esta poniendo muy loco con los emotes!!	0,8	0,7	3	15
Este stream está bueno para escucharlo de fondo	0,8	0,7	3	9
Vas a realizar algun sorteo algun dia?	0,8	0,7	3	12
Como pasas todo el dia streameando? Es complicado? Yo tambien quiero!	0,8	0,7	3	7
Cual es tu juego favorito de siempre?	0,9	0,9	3	14
Como se llama este juego? Podrías decirme el nombre? 	0,9	0,9	3	11
Que plataforma de videojuegos es tu favorita?	0,9	0,9	3	10
Que vas a cenar?	0,9	0,9	3	6
Cual es el proximo juego que tienes en mente para comprar?	0,9	0,9	3	13
Me voy a comer. pero ya regreso!	0,9	0,9	3	8
Bueno me tengo que ir! Suerte crack!	0,9	0,9	3	12
Hola! Como estas hoy?	1	1	4	9
La calidad del stream es genial. me encanta!	1	1	4	14
Ey. eso se ve muy bueno!	1	1	4	7
Me encanta participar de este chat! Son lo mejor	1	1	4	11
Que lastima que tengas que apagar. me estaba divirtiendo mucho	1	1	4	10
La de agarrar la pala te la sabes?	0,2	-1,5	-1	6
Sacate esa remera que la representas mal	0,5	0	0	13
Siganme en mi stream estrims.tv/xgamer01x	0	-2	-4	8
Y a este quien lo conoce?	0,2	-1,5	-1	15
bro apagá. predio stream el top 1	0,3	-1	-2	12
dadasdasdasddasdsdadsdd	0,25	-1,5	-1	9
me dejo mi novia por mi amigo. algun consejo?	0,6	0,3	1	11
Quieres discarded turbo gratis? Unete a www.estafa2.com	0	-2	-4	7
soy mejor streamer que tu :):):)	0,2	-1,5	-1	14
que carita de idiota jajajhjjajshsjaa	0,1	-1,8	-3	10
ME ENVIAS UN SALUDO PORFISSSSSSSSS	0,5	0	0	5
HOLA CHAT	0,9	0,9	3	13
UwU	1	1	4	8
imbecil que asco que das	0,1	-1,8	-3	12
( ?° ?? ?°)( ?° ?? ?°)( ?° ?? ?°)	1	1	4	9
primero coment	1	1	4	11
reacciona a top fails del añooooooooooooooo	0,5	0	0	7
peepoSad peepoSad peepoSad peepoSad peepoSad peepoSad	1	1	4	14
01001000 01001111 01001100 01000001	0,6	0,3	1	10
hola mods me pueden bannear? Gracias	0,4	-0,5	-1	6
